start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,habit_raw,fight
20/4/18 02:01,1,fast,20/4/18 01:59,20/4/18 02:03,122,0,1,4,19/4/18 19:12,6.825833333,1,fast,0
20/4/18 02:01,0.014004332,fast,20/4/18 01:59,20/4/18 02:03,141,0,1,4,19/4/18 19:12,6.831111111,1,fast,0
20/4/18 02:02,7,rat,20/4/18 01:59,20/4/18 02:03,164,1,0,4,19/4/18 19:12,6.8375,1,rat,0
20/4/18 02:03,7,pick,20/4/18 01:59,20/4/18 02:03,216,0,1,4,19/4/18 19:12,6.851944444,1,pick,0
20/4/18 02:48,3,rat,20/4/18 02:44,20/4/18 02:51,210,1,0,4,19/4/18 19:12,7.604166667,1,rat,0
20/4/18 02:48,6,rat,20/4/18 02:44,20/4/18 02:51,235,1,0,4,19/4/18 19:12,7.611111111,1,rat,0
20/4/18 02:48,1,other,20/4/18 02:44,20/4/18 02:51,248,0,0,4,19/4/18 19:12,7.614722222,1,nan,0
20/4/18 02:49,4,pick,20/4/18 02:44,20/4/18 02:51,269,0,1,4,19/4/18 19:12,7.620555556,1,pick,0
20/4/18 02:49,5,pick,20/4/18 02:44,20/4/18 02:51,303,0,1,4,19/4/18 19:12,7.63,1,pick,0
20/4/18 02:51,26,other,20/4/18 02:44,20/4/18 02:51,375,0,0,4,19/4/18 19:12,7.65,1,nan,0
20/4/18 03:27,4,fast,20/4/18 03:24,20/4/18 03:36,180,0,1,4,19/4/18 19:12,8.251666667,1,fast,0
20/4/18 03:31,4,fast,20/4/18 03:24,20/4/18 03:36,467,0,1,4,19/4/18 19:12,8.331388889,1,fast,0
20/4/18 03:32,10,pick,20/4/18 03:24,20/4/18 03:36,512,0,1,4,19/4/18 19:12,8.343888889,1,pick,0
20/4/18 03:32,10,rat,20/4/18 03:24,20/4/18 03:36,521,1,0,4,19/4/18 19:12,8.346388889,1,rat,0
20/4/18 03:33,2,fast,20/4/18 03:24,20/4/18 03:36,547,0,1,4,19/4/18 19:12,8.353611111,1,fast,0
20/4/18 03:33,1,fast,20/4/18 03:24,20/4/18 03:36,573,0,1,4,19/4/18 19:12,8.360833333,1,fast,0
20/4/18 03:33,3,fast,20/4/18 03:24,20/4/18 03:36,591,0,1,4,19/4/18 19:12,8.365833333,1,fast,0
20/4/18 03:34,3,pick,20/4/18 03:24,20/4/18 03:36,621,0,1,4,19/4/18 19:12,8.374166667,1,pick,0
20/4/18 03:35,73,rat,20/4/18 03:24,20/4/18 03:36,655,1,0,4,19/4/18 19:12,8.383611111,1,rat_and_bat,0
20/4/18 03:57,3,fast,20/4/18 03:51,20/4/18 04:01,330,0,1,4,19/4/18 19:12,8.756111111,1,fast,0
20/4/18 03:59,0.068554286,fast,20/4/18 03:51,20/4/18 04:01,487,0,1,4,19/4/18 19:12,8.799722222,1,fast,0
20/4/18 04:00,3,pick,20/4/18 03:51,20/4/18 04:01,522,0,1,4,19/4/18 19:12,8.809444444,1,pick,0
21/4/18 19:30,4,rat,21/4/18 19:30,21/4/18 19:35,24,1,0,4,21/4/18 19:14,0.276944444,1,rat,0
21/4/18 19:58,1,fast,21/4/18 19:57,21/4/18 20:06,17,0,1,4,21/4/18 19:14,0.736388889,1,fast,0
21/4/18 19:59,20,pick,21/4/18 19:57,21/4/18 20:06,108,1,1,4,21/4/18 19:14,0.761666667,1,pick_and_others,0
21/4/18 20:00,9,rat,21/4/18 19:57,21/4/18 20:06,130,1,0,4,21/4/18 19:14,0.767777778,1,rat,0
21/4/18 20:05,54,pick,21/4/18 19:57,21/4/18 20:06,474,1,1,4,21/4/18 19:14,0.863333333,1,pick_and_others,0
21/4/18 22:57,1,fast,21/4/18 22:57,21/4/18 22:59,7,0,1,4,21/4/18 19:14,3.726666667,1,fast,0
21/4/18 22:57,25,pick,21/4/18 22:57,21/4/18 22:59,22,0,1,4,21/4/18 19:14,3.730833333,1,pick,0
21/4/18 22:58,14,pick,21/4/18 22:57,21/4/18 22:59,88,1,1,4,21/4/18 19:14,3.749166667,1,pick_and_others,0
21/4/18 22:59,8,bat,21/4/18 22:57,21/4/18 22:59,97,1,0,4,21/4/18 19:14,3.751666667,1,bat,0
21/4/18 22:59,6,pick,21/4/18 22:57,21/4/18 22:59,102,0,1,4,21/4/18 19:14,3.753055556,1,pick,0
21/4/18 23:52,26,pick,21/4/18 23:50,21/4/18 23:56,112,1,1,4,21/4/18 19:14,4.640833333,1,pick_and_others,0
21/4/18 23:52,6,pick,21/4/18 23:50,21/4/18 23:56,126,0,1,4,21/4/18 19:14,4.644722222,1,pick,0
